KartBlitz Leaderboard Backup
Generated (UTC): 2026-08-25T12:37:27.986Z
Registered devices: 7
Saved scores: 452
Saved online wins: 4

This file is a full snapshot of cloud leaderboard records (usernames and times).
Device tokens are omitted so the file is safe to keep in git.
Use this if D1 data is lost and you need to refer back to previous records.

------------------------------------------------------------------------------
REGISTERED USERNAMES
------------------------------------------------------------------------------
USERNAME        REGISTERED (UTC)          LAST SEEN (UTC)
LEAFERD         2026-08-18T10:21:09.992Z  2026-08-25T03:24:09.795Z
AAAAAAAAAAAA    2026-08-18T23:08:59.310Z  2026-08-23T07:45:58.595Z
SCOOPDOG        2026-08-18T23:09:51.022Z  2026-08-20T10:39:05.812Z
JAN             2026-08-20T00:29:04.489Z  2026-08-20T00:29:04.652Z
SCOOPDOG        2026-08-20T11:40:23.168Z  2026-08-22T00:48:09.056Z
NOTHECKER       2026-08-23T02:26:25.773Z  2026-08-23T02:43:27.435Z
NOTHECKER       2026-08-23T08:00:25.629Z  2026-08-24T03:26:36.189Z

------------------------------------------------------------------------------
SCORES (best lap first within each mode/track)
------------------------------------------------------------------------------
MODE      TRACK   TRACK NAME              USERNAME      BEST LAP    TOTAL       WINNER    CREATED (UTC)
trial     0       SUNSET SPEEDWAY         LEAFERD       0:24.432    0:24.432    -         2026-08-18T10:21:10.193Z
trial     0       SUNSET SPEEDWAY         SCOOPDOG      0:25.106    0:25.106    -         2026-08-20T00:20:17.123Z
trial     0       SUNSET SPEEDWAY         NOTHECKER     0:25.156    0:25.156    -         2026-08-23T08:19:38.636Z
trial     0       SUNSET SPEEDWAY         AAAAAAAAAAAA  0:27.462    0:55.811    -         2026-08-23T07:44:34.425Z
trial     0       SUNSET SPEEDWAY         LAP4900       0:38.058    1:57.018    -         2026-08-20T00:33:54.996Z
trial     0       SUNSET SPEEDWAY         TURBO6850     0:38.108    1:55.459    -         2026-08-20T00:33:45.010Z
trial     0       SUNSET SPEEDWAY         GRID8686      0:38.152    1:55.717    -         2026-08-20T00:33:47.796Z
trial     0       SUNSET SPEEDWAY         SPEED6318     0:38.223    1:55.649    -         2026-08-20T00:33:21.836Z
trial     0       SUNSET SPEEDWAY         RACER7484     0:38.277    1:55.389    -         2026-08-20T00:33:53.353Z
trial     0       SUNSET SPEEDWAY         GRID8024      0:38.351    1:58.759    -         2026-08-20T00:33:47.796Z
trial     0       SUNSET SPEEDWAY         BOOST980      0:38.388    1:56.153    -         2026-08-20T00:33:45.010Z
trial     0       SUNSET SPEEDWAY         POLE8413      0:38.565    1:55.999    -         2026-08-20T00:33:21.836Z
trial     0       SUNSET SPEEDWAY         LAP3429       0:38.646    1:57.495    -         2026-08-20T00:33:53.353Z
trial     0       SUNSET SPEEDWAY         WHEEL4660     0:38.668    1:56.284    -         2026-08-20T00:33:45.010Z
trial     0       SUNSET SPEEDWAY         WHEEL1999     0:38.710    1:56.219    -         2026-08-20T00:33:53.353Z
trial     0       SUNSET SPEEDWAY         TURBO7248     0:38.716    1:56.723    -         2026-08-20T00:33:47.796Z
trial     0       SUNSET SPEEDWAY         SPEED5635     0:38.720    1:56.260    -         2026-08-20T00:33:47.796Z
trial     0       SUNSET SPEEDWAY         RACER3383     0:39.030    2:00.148    -         2026-08-20T00:33:45.010Z
trial     0       SUNSET SPEEDWAY         RACER8371     0:39.143    1:58.056    -         2026-08-20T00:33:53.353Z
trial     0       SUNSET SPEEDWAY         NITRO6344     0:39.265    2:00.428    -         2026-08-20T00:33:53.353Z
trial     0       SUNSET SPEEDWAY         DRIFT4071     0:39.310    1:58.998    -         2026-08-20T00:33:47.796Z
trial     0       SUNSET SPEEDWAY         WHEEL6929     0:39.367    2:01.872    -         2026-08-20T00:33:54.996Z
trial     0       SUNSET SPEEDWAY         BOOST7871     0:39.386    2:00.102    -         2026-08-20T00:33:54.996Z
trial     0       SUNSET SPEEDWAY         LAP7378       0:39.438    2:00.495    -         2026-08-20T00:33:45.010Z
trial     0       SUNSET SPEEDWAY         WHEEL5058     0:39.439    2:00.096    -         2026-08-20T00:33:45.010Z
trial     0       SUNSET SPEEDWAY         SPEED8919     0:39.528    1:58.965    -         2026-08-20T00:33:45.010Z
trial     0       SUNSET SPEEDWAY         TURBO6950     0:39.705    2:00.377    -         2026-08-20T00:33:21.836Z
trial     0       SUNSET SPEEDWAY         RACER2691     0:39.745    2:00.796    -         2026-08-20T00:33:54.996Z
trial     0       SUNSET SPEEDWAY         WHEEL4033     0:39.845    2:00.316    -         2026-08-20T00:33:45.010Z
trial     0       SUNSET SPEEDWAY         WHEEL8222     0:39.867    2:00.781    -         2026-08-20T00:33:53.353Z
trial     0       SUNSET SPEEDWAY         POLE1554      0:39.881    2:03.619    -         2026-08-20T00:33:45.010Z
trial     0       SUNSET SPEEDWAY         LAP3178       0:39.884    2:00.247    -         2026-08-20T00:33:45.010Z
trial     0       SUNSET SPEEDWAY         WHEEL4243     0:39.953    2:02.324    -         2026-08-20T00:33:47.796Z
trial     0       SUNSET SPEEDWAY         GRID8982      0:40.057    2:01.262    -         2026-08-20T00:33:21.836Z
trial     0       SUNSET SPEEDWAY         BOOST7964     0:40.120    2:02.478    -         2026-08-20T00:33:45.010Z
trial     0       SUNSET SPEEDWAY         DRIFT3629     0:40.147    2:03.020    -         2026-08-20T00:33:21.836Z
trial     0       SUNSET SPEEDWAY         BOOST338      0:40.229    2:02.879    -         2026-08-20T00:33:53.353Z
trial     0       SUNSET SPEEDWAY         TURBO8342     0:40.259    2:04.722    -         2026-08-20T00:33:45.010Z
trial     0       SUNSET SPEEDWAY         GRID5105      0:40.306    2:02.603    -         2026-08-20T00:33:54.996Z
trial     0       SUNSET SPEEDWAY         LAP8346       0:40.457    2:05.339    -         2026-08-20T00:33:53.353Z
trial     0       SUNSET SPEEDWAY         SPEED4308     0:40.477    2:05.042    -         2026-08-20T00:33:54.996Z
trial     0       SUNSET SPEEDWAY         GRID5090      0:40.543    2:04.146    -         2026-08-20T00:33:45.010Z
trial     0       SUNSET SPEEDWAY         LAP3479       0:40.735    2:05.244    -         2026-08-20T00:33:54.996Z
trial     0       SUNSET SPEEDWAY         BOOST8930     0:40.748    2:05.467    -         2026-08-20T00:33:21.836Z
trial     0       SUNSET SPEEDWAY         NITRO893      0:40.758    2:03.765    -         2026-08-20T00:33:53.353Z
trial     0       SUNSET SPEEDWAY         GRID5194      0:40.784    2:03.961    -         2026-08-20T00:33:21.836Z
trial     0       SUNSET SPEEDWAY         BOOST1235     0:40.808    2:02.473    -         2026-08-20T00:33:54.996Z
trial     0       SUNSET SPEEDWAY         POLE8033      0:40.997    2:05.878    -         2026-08-20T00:33:53.353Z
trial     0       SUNSET SPEEDWAY         BOOST6746     0:41.123    2:04.201    -         2026-08-20T00:33:45.010Z
